case_id,trial,seed,scheme,checktype,error_mode,burst_length,validated_packets,detected_error_packets,invalid_metadata_packets,missed_error_packets,sender_exit_status,wall_ms,user_cpu_ms,system_cpu_ms,max_rss_kb,log_bytes
1,1,8142026,checksum,0,clean,0,11,0,0,0,0,2.904,2.002,0.000,1728,5583
1,2,8142026,crc16,1,clean,0,11,0,0,0,0,21.191,0.000,2.472,1872,5570
1,3,8142026,crc32,2,clean,0,11,0,0,0,0,2.591,0.000,1.806,1728,5580
1,4,8142026,crc10,3,clean,0,11,0,0,0,0,2.203,1.145,0.000,1872,5580
1,5,8142026,crc8,4,clean,0,11,0,0,0,0,2.404,2.045,0.000,1728,5559
2,6,8142027,checksum,0,single_bit,0,11,11,0,0,0,2.337,0.000,1.723,1872,6076
2,7,8142027,crc16,1,single_bit,0,11,11,0,0,0,2.009,1.685,0.000,1728,6084
2,8,8142027,crc32,2,single_bit,0,11,11,0,0,0,2.769,1.936,0.000,1584,6093
2,9,8142027,crc10,3,single_bit,0,11,11,0,0,0,2.447,0.000,1.659,1728,6093
2,10,8142027,crc8,4,single_bit,0,11,11,0,0,0,3.387,0.000,2.923,1872,6077
3,11,8142028,checksum,0,single_bit,0,11,11,1,0,0,2.717,0.000,2.386,1728,6103
3,12,8142028,crc16,1,single_bit,0,11,11,1,0,0,3.169,0.000,2.818,1872,6081
3,13,8142028,crc32,2,single_bit,0,11,11,1,0,0,7.694,2.931,0.000,1728,6091
3,14,8142028,crc10,3,single_bit,0,11,11,1,0,0,3.049,2.445,0.000,1872,6090
3,15,8142028,crc8,4,single_bit,0,11,11,1,0,0,2.325,0.000,2.007,1584,6073
4,16,8142029,checksum,0,burst,11,11,11,0,0,0,2.022,1.767,0.000,1728,6107
4,17,8142029,crc16,1,burst,11,11,11,0,0,0,2.064,1.692,0.000,1728,6085
4,18,8142029,crc32,2,burst,11,11,11,0,0,0,3.286,0.000,1.782,1584,6094
4,19,8142029,crc10,3,burst,11,11,11,0,0,0,2.241,1.916,0.000,1728,6094
4,20,8142029,crc8,4,burst,11,11,11,0,0,0,2.132,1.474,0.000,1872,6074
5,21,8142030,checksum,0,burst,12,11,9,2,2,0,2.037,0.000,1.430,1728,6013
5,22,8142030,crc16,1,burst,12,11,11,2,0,0,2.851,2.000,0.000,1872,6083
5,23,8142030,crc32,2,burst,12,11,11,2,0,0,2.051,1.641,0.000,1584,6090
5,24,8142030,crc10,3,burst,12,11,11,2,0,0,2.228,1.510,0.000,1728,6090
5,25,8142030,crc8,4,burst,12,11,11,2,0,0,2.431,1.951,0.000,1728,6075
6,26,8142031,checksum,0,burst,13,11,11,2,0,0,1.763,0.000,1.338,1728,6099
6,27,8142031,crc16,1,burst,13,11,11,2,0,0,2.178,0.999,0.000,1584,6084
6,28,8142031,crc32,2,burst,13,11,11,2,0,0,2.041,1.428,0.000,1728,6090
6,29,8142031,crc10,3,burst,13,11,11,2,0,0,1.967,1.359,0.000,1584,6090
6,30,8142031,crc8,4,burst,13,11,11,3,0,0,2.317,1.698,0.000,1584,6071
7,31,8142032,checksum,0,burst,14,11,11,3,0,0,4.166,1.999,0.000,1728,6098
7,32,8142032,crc16,1,burst,14,11,11,3,0,0,1.808,1.265,0.000,1584,6081
7,33,8142032,crc32,2,burst,14,11,11,3,0,0,2.577,2.218,0.000,1728,6088
7,34,8142032,crc10,3,burst,14,11,11,3,0,0,3.085,0.000,2.609,1584,6088
7,35,8142032,crc8,4,burst,14,11,11,3,0,0,2.055,1.430,0.000,1872,6074
8,36,8142033,checksum,0,burst,15,11,11,6,0,0,3.828,0.000,3.530,1728,6089
8,37,8142033,crc16,1,burst,15,11,11,6,0,0,2.832,1.891,0.000,1728,6079
8,38,8142033,crc32,2,burst,15,11,11,6,0,0,2.501,0.000,2.065,1872,6082
8,39,8142033,crc10,3,burst,15,11,11,6,0,0,2.415,0.000,1.646,1728,6082
8,40,8142033,crc8,4,burst,15,11,11,6,0,0,2.998,2.546,0.000,1728,6074
9,41,8142034,checksum,0,burst,16,11,11,4,0,0,2.742,2.243,0.000,1872,6086
9,42,8142034,crc16,1,burst,16,11,11,4,0,0,3.998,0.000,3.531,1872,6073
9,43,8142034,crc32,2,burst,16,11,11,4,0,0,3.898,2.740,0.000,1872,6078
9,44,8142034,crc10,3,burst,16,11,11,4,0,0,2.073,1.587,0.000,1728,6080
9,45,8142034,crc8,4,burst,16,11,11,4,0,0,2.153,1.961,0.000,1872,6065
10,46,8142035,checksum,0,burst,17,11,11,4,0,0,2.260,0.000,2.022,1872,6092
10,47,8142035,crc16,1,burst,17,11,11,4,0,0,2.811,0.000,2.276,1872,6079
10,48,8142035,crc32,2,burst,17,11,11,4,0,0,2.097,1.721,0.000,1728,6085
10,49,8142035,crc10,3,burst,17,11,11,4,0,0,2.261,1.599,0.000,1728,6085
10,50,8142035,crc8,4,burst,17,11,11,4,0,0,2.715,1.897,0.000,1728,6074
11,51,8142036,checksum,0,clean,0,11,0,0,0,0,2.756,0.000,2.299,1728,5623
11,52,8142036,crc16,1,clean,0,11,0,0,0,0,1.963,1.446,0.000,1872,5570
11,53,8142036,crc32,2,clean,0,11,0,0,0,0,2.162,1.669,0.000,1728,5581
11,54,8142036,crc10,3,clean,0,11,0,0,0,0,2.327,1.926,0.000,1728,5581
11,55,8142036,crc8,4,clean,0,11,0,0,0,0,3.061,0.000,2.580,1584,5561
12,56,8142037,checksum,0,single_bit,0,11,11,1,0,0,2.896,2.121,0.000,1872,6073
12,57,8142037,crc16,1,single_bit,0,11,11,1,0,0,4.695,0.000,4.492,1728,6091
12,58,8142037,crc32,2,single_bit,0,11,11,1,0,0,2.778,0.000,1.959,1728,6090
12,59,8142037,crc10,3,single_bit,0,11,11,1,0,0,3.241,0.000,2.678,1728,6091
12,60,8142037,crc8,4,single_bit,0,11,11,1,0,0,2.671,0.000,1.855,1872,6074
13,61,8142038,checksum,0,single_bit,0,11,11,1,0,0,2.340,1.752,0.000,1728,6106
13,62,8142038,crc16,1,single_bit,0,11,11,1,0,0,3.122,0.000,2.739,1728,6085
13,63,8142038,crc32,2,single_bit,0,11,11,1,0,0,2.815,0.000,2.347,1728,6094
13,64,8142038,crc10,3,single_bit,0,11,11,1,0,0,2.624,0.000,2.017,1728,6092
13,65,8142038,crc8,4,single_bit,0,11,11,1,0,0,2.874,0.000,1.831,1728,6076
14,66,8142039,checksum,0,burst,21,11,11,3,0,0,2.044,1.724,0.000,1872,6097
14,67,8142039,crc16,1,burst,21,11,11,3,0,0,2.996,0.000,2.273,1728,6089
14,68,8142039,crc32,2,burst,21,11,11,3,0,0,3.591,0.000,2.332,1872,6090
14,69,8142039,crc10,3,burst,21,11,11,3,0,0,2.121,0.000,1.664,1728,6088
14,70,8142039,crc8,4,burst,21,11,11,3,0,0,2.647,2.073,0.000,1728,6073
15,71,8142040,checksum,0,burst,22,11,11,6,0,0,2.496,1.659,0.000,1872,6090
15,72,8142040,crc16,1,burst,22,11,11,6,0,0,2.431,1.571,0.000,1728,6082
15,73,8142040,crc32,2,burst,22,11,11,6,0,0,2.662,0.000,2.275,1728,6083
15,74,8142040,crc10,3,burst,22,11,11,6,0,0,3.233,0.000,2.021,1584,6085
15,75,8142040,crc8,4,burst,22,11,11,6,0,0,2.165,1.568,0.000,1872,6073
16,76,8142041,checksum,0,burst,23,11,11,4,0,0,2.462,0.000,1.628,1728,6097
16,77,8142041,crc16,1,burst,23,11,11,4,0,0,2.820,2.210,0.000,1872,6082
16,78,8142041,crc32,2,burst,23,11,11,4,0,0,2.851,1.940,0.000,1584,6087
16,79,8142041,crc10,3,burst,23,11,11,4,0,0,2.662,0.000,2.360,1728,6087
