case_id,packet_index,seed,error_mode,burst_length,detected_checksum,detected_crc10,detected_crc16,detected_crc32,detected_crc8,time_checksum,time_crc10,time_crc16,time_crc32,time_crc8,error_start,error_end,error_length,error_region,packet_hex,payload_text,detected_by,failed_by,packet_error
5,3,8142030,burst,12,0,1,1,1,1,614,2129,679,1370,505,31,42,12,payload,41414242434358595a595a580000002c6164206d696e696d2076656e69616d2d2170746872216f6e727573756420657865726369746174696f6e20750000126b,ad minim veniam-!pthr!onrusud exercitation u,"crc10,crc16,crc32,crc8",checksum,"case 5, packet 3 [31-42]"
5,9,8142030,burst,12,0,1,1,1,1,245,1818,676,1419,553,42,53,12,payload,41414242434358595a595a580000002c20717569206f666669636961206465736572756e74206d6f6c6c687521606f686c21686521647374206c61620000a96c, qui officia deserunt mollhu!`ohl!he!dst lab,"crc10,crc16,crc32,crc8",checksum,"case 5, packet 9 [42-53]"
38,0,8142063,burst,8,0,1,1,1,1,3511,4488,4807,6845,3358,16,23,8,payload,41414242434358595a595a580000002c6d6e73646c21687173756d20646f6c6f722073697420616d65742c20636f6e7365637465747572206164697000001b65,"mnsdl!hqsum dolor sit amet, consectetur adip","crc10,crc16,crc32,crc8",checksum,"case 38, packet 0 [16-23]"
38,9,8142063,burst,8,0,1,1,1,1,398,1789,616,1689,450,45,52,8,payload,41414242434358595a595a580000002c20717569206f666669636961206465736572756e74206d6f6c6c697420606f686c21686521657374206c61620000a96c, qui officia deserunt mollit `ohl!he!est lab,"crc10,crc16,crc32,crc8",checksum,"case 38, packet 9 [45-52]"
50,0,8142075,burst,20,0,1,1,1,1,2025,2811,5348,3248,2145,25,44,20,payload,41414242434358595a595a580000002c6c6f72656d20697073746c21656e6d6e732172687521606c64752d21626f6e7365637465747572206164697000001b65,lorem ipstl!enmns!rhu!`ldu-!bonsectetur adip,"crc10,crc16,crc32,crc8",checksum,"case 50, packet 0 [25-44]"
50,3,8142075,burst,20,0,1,1,1,1,254,1337,861,1470,456,40,59,20,payload,41414242434358595a595a580000002c6164206d696e696d2076656e69616d2c2071756973206e6f727573746521647964736268756075686e6f21740000126b,"ad minim veniam, quis noruste!dydsbhu`uhno!t","crc10,crc16,crc32,crc8",checksum,"case 50, packet 3 [40-59]"
50,7,8142075,burst,20,0,1,1,1,1,162,1328,2881,1209,418,20,39,20,payload,41414242434358595a595a580000002c20657520677466686075216f746d6d602171607368607574722e204578636570746575722073696e74206f6300003daf, eu gtfh`u!otmm`!q`sh`utr. Excepteur sint oc,"crc10,crc16,crc32,crc8",checksum,"case 50, packet 7 [20-39]"
54,6,8142079,burst,24,0,1,1,1,1,376,2552,730,1781,716,31,54,24,payload,41414242434358595a595a580000002c6e646572697420696e20766f6c7570756075642177646d687521647272642162686d6d746c21656f6c6f726500006fcd,nderit in volupu`ud!wdmhu!drrd!bhmmtl!eolore,"crc10,crc16,crc32,crc8",checksum,"case 54, packet 6 [31-54]"
75,2,8142100,burst,8,0,1,1,1,1,1193,3115,832,1725,725,47,54,8,payload,41414242434358595a595a580000002c74207574206c61626f726520657420646f6c6f7265206d61676e6120616c697074602f21547521656e696d2000002c81,t ut labore et dolore magna alipt`/!Tu!enim ,"crc10,crc16,crc32,crc8",checksum,"case 75, packet 2 [47-54]"
79,7,8142104,burst,12,0,1,1,1,1,356,1833,816,2118,1236,28,39,12,payload,41414242434358595a595a580000002c20657520667567696174206e746d6d602171607368607574722e204578636570746575722073696e74206f6300003daf, eu fugiat ntmm`!q`sh`utr. Excepteur sint oc,"crc10,crc16,crc32,crc8",checksum,"case 79, packet 7 [28-39]"
87,4,8142112,burst,20,0,1,1,1,1,362,2491,711,1985,780,30,49,20,payload,41414242434358595a595a580000002c6c6c616d636f206c61626f726973216f68726821747521606d687074687121647921656120636f6d6d6f646f00007047,llamco laboris!ohrh!tu!`mhpthq!dy!ea commodo,"crc10,crc16,crc32,crc8",checksum,"case 87, packet 4 [30-49]"
