case_id,packet_index,seed,error_mode,burst_length,detected_checksum,detected_crc10,detected_crc16,detected_crc32,time_checksum,time_crc10,time_crc16,time_crc32,detected_by,failed_by
1,0,8142027,single_bit,0,1,1,1,1,1672,4191,1949,7567,"checksum,crc10,crc16,crc32",
1,1,8142027,single_bit,0,1,1,1,1,3103,4813,972,3955,"checksum,crc10,crc16,crc32",
1,2,8142027,single_bit,0,1,1,1,1,627,2736,432,1972,"checksum,crc10,crc16,crc32",
1,3,8142027,single_bit,0,1,1,1,1,364,2448,408,1856,"checksum,crc10,crc16,crc32",
1,4,8142027,single_bit,0,1,1,1,1,371,2428,471,3683,"checksum,crc10,crc16,crc32",
1,5,8142027,single_bit,0,1,1,1,1,389,479,306,598,"checksum,crc10,crc16,crc32",
1,6,8142027,single_bit,0,1,1,1,1,297,2150,461,3825,"checksum,crc10,crc16,crc32",
1,7,8142027,single_bit,0,1,1,1,1,268,2175,480,3642,"checksum,crc10,crc16,crc32",
1,8,8142027,single_bit,0,1,1,1,1,479,4112,388,3871,"checksum,crc10,crc16,crc32",
1,9,8142027,single_bit,0,1,1,1,1,270,4050,394,3647,"checksum,crc10,crc16,crc32",
1,10,8142027,single_bit,0,1,1,1,1,265,4139,458,3859,"checksum,crc10,crc16,crc32",
2,0,8142028,single_bit,0,1,1,1,1,2455,2689,3275,2538,"checksum,crc10,crc16,crc32",
2,1,8142028,single_bit,0,1,1,1,1,2950,1982,1585,2783,"checksum,crc10,crc16,crc32",
2,2,8142028,single_bit,0,0,0,0,1,288,1301,747,1492,crc32,"checksum,crc10,crc16"
2,3,8142028,single_bit,0,1,1,1,1,464,1398,575,1361,"checksum,crc10,crc16,crc32",
2,4,8142028,single_bit,0,1,1,1,1,224,1317,592,1354,"checksum,crc10,crc16,crc32",
2,5,8142028,single_bit,0,1,1,1,1,305,308,349,415,"checksum,crc10,crc16,crc32",
2,6,8142028,single_bit,0,1,1,1,1,244,1364,566,1393,"checksum,crc10,crc16,crc32",
2,7,8142028,single_bit,0,1,1,1,1,271,1417,439,1354,"checksum,crc10,crc16,crc32",
2,8,8142028,single_bit,0,0,0,0,1,175,1298,438,1538,crc32,"checksum,crc10,crc16"
2,9,8142028,single_bit,0,1,1,1,1,227,1355,426,1374,"checksum,crc10,crc16,crc32",
2,10,8142028,single_bit,0,1,1,1,1,212,226,201,230,"checksum,crc10,crc16,crc32",
3,0,8142029,burst,11,1,1,1,1,1779,2083,3577,2855,"checksum,crc10,crc16,crc32",
3,1,8142029,burst,11,1,1,1,1,2479,1999,3560,1745,"checksum,crc10,crc16,crc32",
3,2,8142029,burst,11,1,1,1,1,783,1372,680,1150,"checksum,crc10,crc16,crc32",
3,3,8142029,burst,11,1,1,1,1,949,1404,590,1146,"checksum,crc10,crc16,crc32",
3,4,8142029,burst,11,1,1,1,1,484,291,420,340,"checksum,crc10,crc16,crc32",
3,5,8142029,burst,11,1,1,1,1,529,1281,469,1154,"checksum,crc10,crc16,crc32",
3,6,8142029,burst,11,1,1,1,1,507,1332,452,1221,"checksum,crc10,crc16,crc32",
3,7,8142029,burst,11,1,1,1,1,312,172,186,201,"checksum,crc10,crc16,crc32",
3,8,8142029,burst,11,1,1,1,1,280,141,146,148,"checksum,crc10,crc16,crc32",
3,9,8142029,burst,11,1,1,1,1,493,1311,467,1174,"checksum,crc10,crc16,crc32",
3,10,8142029,burst,11,1,1,1,1,552,1293,463,1198,"checksum,crc10,crc16,crc32",
4,0,8142030,burst,12,1,1,1,1,1030,2572,2594,7249,"checksum,crc10,crc16,crc32",
4,1,8142030,burst,12,1,1,1,1,715,813,824,2016,"checksum,crc10,crc16,crc32",
4,2,8142030,burst,12,1,1,1,1,641,2180,1168,3105,"checksum,crc10,crc16,crc32",
4,3,8142030,burst,12,1,1,1,1,245,205,231,398,"checksum,crc10,crc16,crc32",
4,4,8142030,burst,12,1,1,1,1,302,1864,561,2419,"checksum,crc10,crc16,crc32",
4,5,8142030,burst,12,1,1,1,1,260,1793,464,1929,"checksum,crc10,crc16,crc32",
4,6,8142030,burst,12,1,1,1,1,204,227,219,586,"checksum,crc10,crc16,crc32",
4,7,8142030,burst,12,1,1,1,1,177,208,214,318,"checksum,crc10,crc16,crc32",
4,8,8142030,burst,12,1,1,1,1,281,1729,510,2299,"checksum,crc10,crc16,crc32",
4,9,8142030,burst,12,0,1,1,1,285,1830,457,2042,"crc10,crc16,crc32",checksum
4,10,8142030,burst,12,1,1,1,1,163,208,203,398,"checksum,crc10,crc16,crc32",
5,0,8142031,burst,13,1,1,1,1,2109,3057,3395,3212,"checksum,crc10,crc16,crc32",
5,1,8142031,burst,13,1,1,1,1,928,4766,3692,1730,"checksum,crc10,crc16,crc32",
5,2,8142031,burst,13,1,1,1,1,386,2482,1714,1244,"checksum,crc10,crc16,crc32",
5,3,8142031,burst,13,1,1,1,1,318,497,1923,328,"checksum,crc10,crc16,crc32",
5,4,8142031,burst,13,1,1,1,1,426,1974,3160,1191,"checksum,crc10,crc16,crc32",
